
j' [ʒ]
acéphale [asefal]
acerbe [asɛʁb]
acétate [asetat]
acétique [asetik]
acétone [asetɔn]
acétylcholine [asetilkɔlin]
acétylène [asetilɛn]
Achaïe [akai]
acharné [aʃaʁne]
acharnement [aʃaʁnəmâ]
acharner [aʃaʁne]
achat [aʃa]
ache [aʃ]
achéménide [akemenid]
acheminement [aʃminmâ]
acheminer [aʃmine]
Achéron [akeʁô]
achète [aʃɛt]
acheter [aʃte]
acheteur [aʃtœʁ]
achèvement [aʃɛvmâ]
achever [aʃve]
Achgabat [aʃɡabat]
Achille [aʃil]
achoppement [aʃɔpmâ]
achromatique [akʁɔmatik]
achromatisme [akʁɔmatism]
acide [asid]
acidification [asidifikasjô]
acidité [asidite]
acidose [asidoz]
aciduler [asidyle]
acier [asje]
aciérie [asjeʁi]
acmé [akme]
acné [akne]
acolyte [akɔlit]
acompte [akôt]
Aconcagua [akɔnkaɡwa]
aconit [akɔnit]
Açores [asɔʁ]
acoustique [akustik]
acquéreur [akeʁœʁ]
acquérir [akeʁiʁ]
acquêt [akɛ]
acquiescement [akjɛsmâ]
acquiescer [akjese]
acquis [aki]
acquisition [akizisjô]
acquit [aki]
acquitté [akite]
acquittement [akitmâ]
acquitter [akite]
acre [akʁ]
âcre [akʁ]
âcreté [akʁəte]
acrimonie [akʁimɔni]
acrobate [akʁɔbat]
acrobatie [akʁɔbasi]
acrobatique [akʁɔbatik]
acromion [akʁɔmjô]
acronyme [akʁɔnim]
acropole [akʁɔpɔl]
acrylique [akʁilik]
actant [aktâ]
acte [akt]
acter [akte]
acteur [aktœʁ]
actif [aktif]
actine [aktin]
actinomycose [aktinɔmikoz]
action [aksjô]
actionnaire [aksjɔnɛʁ]
actionnariat [aksjɔnaʁja]
actionner [aksjɔne]
activation [aktivasjô]
activement [aktivmâ]
activer [aktive]
activisme [aktivism]
activiste [aktivist]
activité [aktivite]
actu [akty]
actualisation [aktɥalizasjô]
actualiser [aktɥalize]
actualité [aktɥalite]
actuel [aktɥɛl]
actuellement [aktɥɛlmâ]
acuité [akɥite]
acupuncture [akypôktyʁ]
ad [ad]
adage [adaʒ]
Adam [adâ]
adamique [adamik]
Adamov [adamɔv]
Adams [adams]
Adana [adana]
adaptabilité [adaptabilite]
adaptable [adaptabl]
adaptateur [adaptatœʁ]
adaptatif [adaptatif]
adaptation [adaptasjô]
adapter [adapte]
addiction [adiksjô]
Addis-Abeba [adisabeba]
additif [aditif]
addition [adisjô]
additionnel [adisjɔnɛl]
additionner [adisjɔne]
adducteur [adyktœʁ]
adduction [adyksjô]
Adélaïde [adelaid]
Adelbert [adɛlbɛʁ]
Adèle [adɛl]
Adeline [adlin]
Adenauer [adnawœʁ]
adénite [adenit]
adénome [adenom]
adénopathie [adenɔpati]
adepte [adɛpt]
adéquat [adekwa]
