
j' [ʒ]
bourru [buʁy]
bourse [buʁs]
boursier [buʁsje]
boursouflure [buʁsuflyʁ]
Bouscat [buska]
bousculade [buskylad]
bousculer [buskyle]
bouse [buz]
boussole [busɔl]
Boussu [busy]
boutade [butad]
boutant [butâ]
bout [bu]
bouteille [butɛj]
bouteiller [buteje]
bouter [bute]
boutique [butik]
boutiquier [butikje]
boutoir [butwaʁ]
bouton [butô]
boutonnier [butɔnje]
bouturage [butyʁaʒ]
bouture [butyʁ]
bouturer [butyʁe]
bouvier [buvje]
Bouygues [bwiɡ]
bovidé [bɔvide]
bovin [bɔvê]
box [bɔks]
boxe [bɔks]
boxeur [bɔksœʁ]
boyard [bɔjaʁ]
boyau [bwajo]
boy [bɔj]
boycottage [bɔjkɔtaʒ]
boycott [bɔjkɔt]
boycotter [bɔjkɔte]
Bq [beky]
brabançon [bʁabâsô]
Brabant [bʁabâ]
bracelet [bʁaslɛ]
brachial [bʁakjal]
brachycéphale [bʁakisefal]
braconnage [bʁakɔnaʒ]
braconnier [bʁakɔnje]
bractée [bʁakte]
brader [bʁade]
Bradford [bʁadfɔʁd]
bradycardie [bʁadikaʁdi]
braguette [bʁaɡɛt]
Brahim [bʁaim]
Brahma [bʁama]
brahmane [bʁaman]
brahmanique [bʁamanik]
brahmanisme [bʁamanism]
Brahmapoutre [bʁamaputʁ]
Brahms [bʁams]
brai [bʁɛ]
Braine-l'Alleud [bʁɛnlalø]
Braine-le-Comte [bʁɛnləkôt]
braire [bʁɛʁ]
braise [bʁɛz]
bran [bʁâ]
brancard [bʁâkaʁ]
branchage [bʁâʃaʒ]
branche [bʁâʃ]
branchement [bʁâʃmâ]
brancher [bʁâʃe]
branchial [bʁâʃjal]
branchie [bʁâʃi]
brandir [bʁâdiʁ]
brandon [bʁâdô]
Brandon [bʁâdɔn]
branlant [bʁâlâ]
branle [bʁâl]
branler [bʁâle]
braquer [bʁake]
bras [bʁa]
brasero [bʁazeʁo]
brasier [bʁazje]
Brasilia [bʁazilja]
Brasov [bʁazɔv]
Brassac [bʁasak]
brassage [bʁasaʒ]
brassard [bʁasaʁ]
Brasschaat [bʁɛsʁat]
brasse [bʁas]
brasser [bʁase]
brasserie [bʁasʁi]
brasseur [bʁasœʁ]
Bratislava [bʁatislava]
Brauer [bʁawœʁ]
bravade [bʁavad]
brave [bʁav]
bravement [bʁavmâ]
braver [bʁave]
bravo [bʁavo]
bravoure [bʁavuʁ]
Bray [bʁɛ]
Brazzaville [bʁazavil]
break [bʁɛk]
brebis [bʁəbi]
brèche [bʁɛʃ]
Brecht [bʁɛʃt]
bref [bʁɛf]
Brême [bʁɛm]
Brésil [bʁezil]
brésilien [bʁeziljê]
Bresse [bʁɛs]
Brest [bʁɛst]
Bretagne [bʁətaɲ]
bretelle [bʁətɛl]
Brétigny-sur-Orge [bʁetiɲisyʁɔʁʒ]
breton [bʁətô]
breuvage [bʁœvaʒ]
brevet [bʁəvɛ]
breveter [bʁəvte]
bréviaire [bʁevjɛʁ]
Brian [bʁijâ]
bribe [bʁib]
Brice [bʁis]
brick [bʁik]
bricolage [bʁikɔlaʒ]
bricoler [bʁikɔle]
bricoleur [bʁikɔlœʁ]
bride [bʁid]
brider [bʁide]
bridge [bʁidʒ]
Brie [bʁi]
brièvement [bʁijɛvmâ]
brièveté [bʁijɛvte]
brigade [bʁiɡad]
brigadier [bʁiɡadje]
brigandage [bʁiɡâdaʒ]
brigand [bʁiɡâ]
brigantin [bʁiɡâtê]
Brigitte [bʁiʒit]
brigue [bʁiɡ]
briguer [bʁiɡe]
brillamment [bʁijamâ]
brillance [bʁijâs]
brillant [bʁijâ]
brillanter [bʁijâte]
briller [bʁije]
brimade [bʁimad]
brimer [bʁime]
brin [bʁê]
brindille [bʁêdij]
brio [bʁijo]
brique [bʁik]
briquer [bʁike]
briquet [bʁikɛ]
briqueterie [bʁiktəʁi,bʁikɛtʁi]
brisant [bʁizâ]
Brisbane [bʁizban]
bris [bʁi]
brise [bʁiz]
brisement [bʁizmâ]
briser [bʁize]
brisure [bʁizyʁ]
britannique [bʁitanik]
Brive-la-Gaillarde [bʁivlaɡajaʁd]
Brno [bʁno]
brocanteur [bʁɔkâtœʁ]
brocard [bʁɔkaʁ]
brocart [bʁɔkaʁ]
broc [bʁo]
brochage [bʁɔʃaʒ]
broche [bʁɔʃ]
brocher [bʁɔʃe]
brochet [bʁɔʃɛ]
brochette [bʁɔʃɛt]
brochure [bʁɔʃyʁ]
broder [bʁɔde]
broderie [bʁɔdʁi]
Broglie [bʁɔɡli]
Broïda [bʁɔida]
broie [bʁwa]
broiement [bʁwamâ]
brome [bʁom]
bromhydrique [bʁɔmidʁik]
bromure [bʁɔmyʁ]
Bron [bʁô]
bronche [bʁôʃ]
broncher [bʁôʃe]
bronchique [bʁôʃik]
bronchite [bʁôʃit]
bronze [bʁôz]
bronzer [bʁôze]
Brooklyn [bʁuklin]
brossage [bʁɔsaʒ]
Brossard [bʁɔsaʁ]
brosse [bʁɔs]
brosser [bʁɔse]
brou [bʁu]
brouet [bʁuɛ]
brouette [bʁuɛt]
brouhaha [bʁuaa]
brouillage [bʁujaʒ]
brouillard [bʁujaʁ]
brouille [bʁuj]
brouiller [bʁuje]
brouillerie [bʁujʁi]
brouillon [bʁujô]
broussaille [bʁusaj]
broussailleux [bʁusajø]
brousse [bʁus]
brouter [bʁute]
Brown [bʁawn]
brownien [bʁonjê]
broyage [bʁwajaʒ]
broyer [bʁwaje]
broyeur [bʁwajœʁ]
Bruay-la-Buissière [bʁɥɛlabɥisjɛʁ]
bru [bʁy]
brucellose [bʁyseloz]
Bruckner [bʁyknɛʁ]
Bruegel [bʁyɡɛl]
Bruges [bʁyʒ]
bruir [bʁɥiʁ]
bruire [bʁɥiʁ]
bruissement [bʁɥismâ]
bruit [bʁɥi]
brûlant [bʁylâ]
brûlé [bʁyle]
brûler [bʁyle]
brûleur [bʁylœʁ]
brûlis [bʁyli]
brûlot [bʁylo]
brûlure [bʁylyʁ]
brumaire [bʁymɛʁ]
brume [bʁym]
brumer [bʁyme]
brumeux [bʁymø]
brunâtre [bʁynatʁ]
brun [bʁê]
Brunei [bʁynɛj]
Bruno [bʁyno]
Brunoy [bʁynwa]
Brunswick [bʁynsvik]
brusque [bʁysk]
brusquement [bʁyskəmâ]
brusquer [bʁyske]
brusquerie [bʁyskəʁi]
brutal [bʁytal]
brutalement [bʁytalmâ]
brutalité [bʁytalite]
brut [bʁyt]
Brutus [bʁytys]
Bruxelles [bʁyksɛl,bʁysɛl]
Bruxelles-Capitale [bʁyksɛlkapital,bʁysɛlkapital]
bruxellois [bʁyselwa]
bruyamment [bʁɥijamâ]
bruyant [bʁɥijâ]
bruyère [bʁɥijɛʁ]
Bryan [bʁijâ]
BTS [beteɛs]
buanderie [bɥâdʁi]
bubon [bybô]
bu [by]
Bucarest [bykaʁɛst]
buccal [bykal]
bûche [byʃ]
bûcher [byʃe]
bûcheron [byʃʁô]
bucolique [bykɔlik]
Budapest [bydapɛst]
budgétaire [bydʒetɛʁ]
budget [bydʒɛ]
buée [bɥe]
Buenos [bɥɛnos]
Buffalo [byfalo]
buffet [byfɛ]
buffle [byfl]
Buffon [byfô]
building [bildiŋ]
buis [bɥi]
buisson [bɥisô]
Bujumbura [buʒumbuʁa]
bulbaire [bylbɛʁ]
bulbe [bylb]
bulgare [bylɡaʁ]
Bulgarie [bylɡaʁi]
bull [byl]
bulldozer [byldɔzɛʁ,buldozœʁ]
bulle [byl]
buller [byle]
bulletin [byltê]
Bundesrat [bundəsʁat]
Bundestag [bundəstaɡ]
bungalow [bêɡalo]
bunker [bunkɛʁ,bunkœʁ]
buraliste [byʁalist]
bureau [byʁo]
bureaucrate [byʁokʁat]
bureaucratie [byʁokʁasi]
bureaucratique [byʁokʁatik]
bureaucratisation [byʁokʁatizasjô]
bure [byʁ]
burette [byʁɛt]
Buridan [byʁidâ]
burin [byʁê]
burkinabé [byʁkinabe]
Burkina [byʁkina]
burlesque [byʁlɛsk]
burnous [byʁnu,byʁnus]
Burnside [bœʁnsajd]
burundais [buʁundɛ]
Burundi [buʁundi]
bus [bys]
buse [byz]
Bush [byʃ]
business [biznɛs]
busqué [byske]
buste [byst]
butane [bytan]
but [by,byt]
bute [byt]
buter [byte]
buteur [bytœʁ]
butin [bytê]
butiner [bytine]
butoir [bytwaʁ]
butor [bytɔʁ]
butte [byt]
butter [byte]
butyrique [bytiʁik]
buvard [byvaʁ]
buvette [byvɛt]
buveur [byvœʁ]
Byron [bajʁɔn]
byssus [bisys]
Byzance [bizâs]
byzantin [bizâtê]
cabale [kabal]
cabalistique [kabalistik]
cabane [kaban]
cabaner [kabane]
cabanon [kabanô]
cabaretier [kabaʁtje]
cabaret [kabaʁɛ]
cabas [kaba]
cabestan [kabɛstâ]
cabine [kabin]
cabiner [kabine]
cabinet [kabinɛ]
cab [kab]
câblage [kablaʒ]
câble [kabl]
câbler [kable]
cabotage [kabɔtaʒ]
cabotinage [kabɔtinaʒ]
cabrer [kabʁe]
cabri [kabʁi]
cabriolet [kabʁijɔlɛ]
cacao [kakao]
cacaoyer [kakaɔje]
cachalot [kaʃalo]
Cachan [kaʃâ]
cachectique [kaʃɛktik]
cache [kaʃ]
cachemire [kaʃmiʁ]
Cachemire [kaʃmiʁ]
cacher [kaʃe]
cacheter [kaʃte]
cachet [kaʃɛ]
cachette [kaʃɛt]
cachexie [kaʃɛksi]
cachot [kaʃo]
cachou [kaʃu]
cacique [kasik]
CAC [kak]
cacophonie [kakɔfɔni]
cactus [kaktys]
cadastral [kadastʁal]
cadastre [kadastʁ]
cadastrer [kadastʁe]
cadavérique [kadaveʁik]
cadavre [kadavʁ]
cadeau [kado]
cade [kad]
cadenas [kadna]
cadence [kadâs]
cadencer [kadâse]
cadet [kadɛ]
cadi [kadi]
Cadix [kadiks]
cadmium [kadmjɔm]
cadrage [kadʁaʒ]
cadran [kadʁâ]
cadre [kadʁ]
cadrer [kadʁe]
CAD [seade]
caducée [kadyse]
caducité [kadysite]
caduc [kadyk]
caduque [kadyk]
Caelius [sɛljys]
Caen [kâ]
cafard [kafaʁ]
caféier [kafeje]
caféine [kafein]
café [kafe]
cafétéria [kafeteʁja]
cafetier [kaftje]
caftan [kaftâ]
cage [kaʒ]
Cagliari [kaɡlijaʁi]
Cagnes-sur-Mer [kaɲsyʁmɛʁ]
cagoule [kaɡul]
cahier [kaje]
Cahors [kaɔʁ]
cahute [kayt]
caïd [kaid]
caille [kaj]
cailler [kaje]
caillot [kajo]
caillou [kaju]
caillouteux [kajutø]
cailloutis [kajuti]
caïman [kaimâ]
Caïn [kaê]
Caire [kɛʁ]
cairn [kɛʁn]
caisse [kɛs]
caissier [kesje]
caisson [kɛsô]
cajoler [kaʒɔle]
calabrais [kalabʁɛ]
Calabre [kalabʁ]
calage [kalaʒ]
Calais [kalɛ]
calamine [kalamin]
calamité [kalamite]
calamiteux [kalamitø]
calcaire [kalkɛʁ]
calcanéum [kalkaneɔm]
calcédoine [kalsedwan]
calcémie [kalsemi]
calcification [kalsifikasjô]
calcination [kalsinasjô]
calciner [kalsine]
calcique [kalsik]
calcite [kalsit]
calcium [kalsjɔm]
calculable [kalkylabl]
calculateur [kalkylatœʁ]
calculer [kalkyle]
calcul [kalkyl]
Calcutta [kalkyta]
Calderón [kaldeʁɔn]
calebasse [kalbas]
calèche [kalɛʃ]
caleçon [kalsô]
Calédonie [kaledɔni]
calédonien [kaledɔnjê]
cale [kal]
calembour [kalâbuʁ]
calendes [kalâd]
calendrier [kalâdʁije]
calepin [kalpê]
caler [kale]
Calestienne [kalɛstjɛn]
Calgary [kalɡaʁi]
calibrage [kalibʁaʒ]
calibre [kalibʁ]
calibrer [kalibʁe]
calice [kalis]
calicot [kaliko]
califat [kalifa]
calife [kalif]
Californie [kalifɔʁni]
californien [kalifɔʁnjê]
califourchon [kalifuʁʃô]
Caligula [kaliɡyla]
Cali [kali]
cal [kal]
Calkin [kalkê]
calleux [kalø]
calligraphe [kaliɡʁaf,kalliɡʁaf]
calligraphie [kaliɡʁafi,kalliɡʁafi]
calligraphique [kaliɡʁafik,kalliɡʁafik]
Callimaque [kalimak]
Callisto [kalisto]
calmant [kalmâ]
calmar [kalmaʁ]
calme [kalm]
calmement [kalməmâ]
calmer [kalme]
calomel [kalɔmɛl]
calomniateur [kalɔmnjatœʁ]
calomnie [kalɔmni]
calomnié [kalɔmnje]
calomnier [kalɔmnje]
calomnieux [kalɔmnjø]
calorie [kalɔʁi]
calorifère [kalɔʁifɛʁ]
calorification [kalɔʁifikasjô]
calorifique [kalɔʁifik]
calorimètre [kalɔʁimɛtʁ]
calorimétrique [kalɔʁimetʁik]
calorique [kalɔʁik]
calot [kalo]
calotte [kalɔt]
calque [kalk]
calquer [kalke]
Caluire-et-Cuire [kalɥiʁekɥiʁ]
calumet [kalymɛ]
Calvados [kalvadɔs]
calvaire [kalvɛʁ]
calvinisme [kalvinism]
calviniste [kalvinist]
Calvin [kalvin]
calvitie [kalvisi]
camaïeu [kamajø]
camail [kamaj]
camarade [kamaʁad]
camaraderie [kamaʁadʁi]
Camargue [kamaʁɡ]
camarilla [kamaʁija]
cambium [kâbjɔm]
Cambodge [kâbɔdʒ]
cambodgien [kâbɔdʒjê]
Cambrai [kâbʁɛ]
Cambridge [kâbʁidʒ]
cambriolage [kâbʁijɔlaʒ]
cambrioleur [kâbʁijɔlœʁ]
cambrure [kâbʁyʁ]
came [kam]
caméléon [kameleô]
camelot [kamlo]
camembert [kamâbɛʁ]
caméra [kameʁa]
camérier [kameʁje]
camer [kame]
camerounais [kamʁunɛ]
Cameroun [kamʁun]
Camille [kamij]
camion [kamjô]
camionnage [kamjɔnaʒ]
camionnette [kamjɔnɛt]
camionneur [kamjɔnœʁ]
camisole [kamizɔl]
camomille [kamɔmij]
camouflage [kamuflaʒ]
camoufler [kamufle]
camouflet [kamuflɛ]
campagnard [kâpaɲaʁ]
campagne [kâpaɲ]
Campanie [kâpani]
campanile [kâpanil]
Campbell [kâpbɛl]
campêche [kâpɛʃ]
campement [kâpmâ]
camper [kâpe]
camphre [kâfʁ]
camphré [kâfʁe]
Campine [kâpin]
camping [kâpiŋ]
camp [kâ]
campo [kâpo]
campus [kâpys]
camus [kamy]
Camus [kamy]
Canada [kanada]
canadien [kanadjê]
canaille [kanaj]
canalicule [kanalikyl]
canalisation [kanalizasjô]
canaliser [kanalize]
canal [kanal]
canapé [kanape]
canard [kanaʁ]
Canaries [kanaʁi]
canari [kanaʁi]
Canaveral [kanaveʁal]
Canberra [kâbeʁa]
cancéreux [kâseʁø]
cancer [kâsɛʁ]
cancérologie [kâseʁɔlɔʒi]
cancre [kâkʁ]
candélabre [kâdelabʁ]
candeur [kâdœʁ]
Candice [kâdis]
candidat [kâdida]
candidature [kâdidatyʁ]
candide [kâdid]
candidement [kâdidmâ]
candomblé [kâdôble]
cane [kan]
caner [kane]
canevas [kanva]
caniche [kaniʃ]
canicule [kanikyl]
canif [kanif]
canin [kanê]
caniveau [kanivo]
cannabis [kanabis]
canne [kan]
cannelle [kanɛl]
cannelure [kanlyʁ]
canner [kane]
Cannes [kan]
Cannet [kanɛ]
cannibale [kanibal]
cannibalisme [kanibalism]
canoë [kanɔe]
canonicat [kanɔnika]
canonique [kanɔnik]
canoniquement [kanɔnikmâ]
canonisation [kanɔnizasjô]
canoniser [kanɔnize]
canoniste [kanɔnist]
canon [kanô]
canonnade [kanɔnad]
canonner [kanɔne]
canonnier [kanɔnje]
canotier [kanɔtje]
canot [kano]
Cantal [kâtal]
cantate [kâtat]
cantatrice [kâtatʁis]
cantilène [kâtilɛn]
cantine [kâtin]
cantique [kâtik]
cantonade [kâtɔnad]
cantonal [kâtɔnal]
canton [kâtô]
Canton [kâtô]
cantonnement [kâtɔnmâ]
cantonner [kâtɔne]
cantonnier [kâtɔnje]
Cantons-de-l'Est [kâtôdəlɛst]
Cantor [kâtɔʁ]
canular [kanylaʁ]
canule [kanyl]
Canyon [kanjɔn]
canyon [kanjɔn,kaɲɔn]
caoutchouc [kautʃu]
capable [kapabl]
capacité [kapasite]
cape [kap]
capétien [kapesjê]
Capet [kapɛ]
capillaire [kapilɛʁ]
capillarité [kapilaʁite]
capitaine [kapitɛn]
capitainerie [kapitɛnʁi]
Capitale-Nationale [kapitalnasjɔnal]
capitalisation [kapitalizasjô]
capitaliser [kapitalize]
capitalisme [kapitalism]
capitaliste [kapitalist]
capitalistique [kapitalistik]
capital [kapital]
capitan [kapitâ]
capitation [kapitasjô]
capite [kapit]
capiteux [kapitø]
Capitole [kapitɔl]
capitoul [kapitul]
capitulaire [kapitylɛʁ]
capitulation [kapitylasjô]
capitule [kapityl]
capitulé [kapityle]
capituler [kapityle]
cap [kap]
Cap [kap]
CAP [kap]
caporal [kapɔʁal]
capote [kapɔt]
capot [kapo]
Cappadoce [kapadɔs]
cappella [kapela,kapɛlla]
caprice [kapʁis]
capricieusement [kapʁisjøzmâ]
capricieux [kapʁisjø]
capsulaire [kapsylɛʁ]
capsule [kapsyl]
capsuler [kapsyle]
captage [kaptaʒ]
captation [kaptasjô]
capter [kapte]
capteur [kaptœʁ]
captieux [kapsjø]
captif [kaptif]
captivant [kaptivâ]
captiver [kaptive]
captivité [kaptivite]
capture [kaptyʁ]
capturer [kaptyʁe]
capuchon [kapyʃô]
capucin [kapysê]
Cap-Vert [kapvɛʁ]
caquet [kakɛ]
carabine [kaʁabin]
carabinier [kaʁabinje]
Caracas [kaʁakas]
caractère [kaʁaktɛʁ]
caractérisant [kaʁakteʁizâ]
caractérisation [kaʁakteʁizasjô]
caractériser [kaʁakteʁize]
caractéristique [kaʁakteʁistik]
caractérologie [kaʁakteʁɔlɔʒi]
carafe [kaʁaf]
caraïbe [kaʁaib]
carapace [kaʁapas]
Caravage [kaʁavaʒ]
caravane [kaʁavan]
caravanier [kaʁavanje]
caravansérail [kaʁavâseʁaj]
caravelle [kaʁavɛl]
carbonarisme [kaʁbɔnaʁism]
carbonate [kaʁbɔnat]
carbonater [kaʁbɔnate]
carbone [kaʁbɔn]
carboné [kaʁbɔne]
carbonifère [kaʁbɔnifɛʁ]
carbonique [kaʁbɔnik]
carbonisation [kaʁbɔnizasjô]
carburant [kaʁbyʁâ]
carburateur [kaʁbyʁatœʁ]
carburation [kaʁbyʁasjô]
carbure [kaʁbyʁ]
carburer [kaʁbyʁe]
carcan [kaʁkâ]
carcasse [kaʁkas]
Carcassonne [kaʁkasɔn]
carcéral [kaʁseʁal]
carcinome [kaʁsinom]
cardage [kaʁdaʒ]
carde [kaʁd]
carder [kaʁde]
cardia [kaʁdja]
cardiaque [kaʁdjak]
Cardiff [kaʁdif]
cardinalat [kaʁdinala]
cardinalice [kaʁdinalis]
cardinal [kaʁdinal]
cardiologie [kaʁdjɔlɔʒi]
cardiopathie [kaʁdjɔpati]
cardiovasculaire [kaʁdjovaskylɛʁ]
carême [kaʁɛm]
carénage [kaʁenaʒ]
carence [kaʁâs]
carencer [kaʁâse]
carène [kaʁɛn]
caressant [kaʁesâ]
caresse [kaʁɛs]
caresser [kaʁese]
caret [kaʁɛ]
cargaison [kaʁɡɛzô]
cargo [kaʁɡo]
Caribert [kaʁibɛʁ]
caribou [kaʁibu]
caricatural [kaʁikatyʁal]
caricature [kaʁikatyʁ]
caricaturer [kaʁikatyʁe]
caricaturiste [kaʁikatyʁist]
carie [kaʁi]
carier [kaʁje]
cari [kaʁi]
carillon [kaʁijô]
Carine [kaʁin]
car [kaʁ]
Carla [kaʁla]
carlingue [kaʁlêɡ]
carliste [kaʁlist]
Carloman [kaʁlɔman]
Carlos [kaʁlos]
carmagnole [kaʁmaɲɔl]
carme [kaʁm]
carmel [kaʁmɛl]
Carmen [kaʁmɛn]
carmin [kaʁmê]
carnage [kaʁnaʒ]
carnassier [kaʁnasje]
carnation [kaʁnasjô]
carnavalesque [kaʁnavalɛsk]
carnaval [kaʁnaval]
carne [kaʁn]
carnet [kaʁnɛ]
carnivore [kaʁnivɔʁ]
Carnot [kaʁno]
Carole [kaʁɔl]
Caroline [kaʁɔlin]
carolingien [kaʁɔlêʒjê]
caroncule [kaʁôkyl]
carotène [kaʁɔtɛn]
carotide [kaʁɔtid]
carotidien [kaʁɔtidjê]
carotte [kaʁɔt]
carotter [kaʁɔte]
caroubier [kaʁubje]
Carpates [kaʁpat]
carpe [kaʁp]
Carpentras [kaʁpâtʁa]
carpien [kaʁpjê]
carquois [kaʁkwa]
carreau [kaʁo]
carrefour [kaʁfuʁ]
carré [kaʁe]
carrelage [kaʁlaʒ]
carrément [kaʁemâ]
carrer [kaʁe]
carrier [kaʁje]
carriole [kaʁjɔl]
Carroll [kaʁɔl]
carrossable [kaʁɔsabl]
carrosse [kaʁɔs]
carrosserie [kaʁɔsʁi]
carrosser [kaʁɔse]
carrossier [kaʁɔsje]
carrousel [kaʁuzɛl]
carrure [kaʁyʁ]
Carstensz [kaʁstɛns]
cartable [kaʁtabl]
Cartan [kaʁtâ]
carte [kaʁt]
cartel [kaʁtɛl]
carter [kaʁtɛʁ]
cartésianisme [kaʁtezjanism]
cartésien [kaʁtezjê]
Carthage [kaʁtaʒ]
carthaginois [kaʁtaʒinwa]
cartilage [kaʁtilaʒ]
cartilagineux [kaʁtilaʒinø]
cartographe [kaʁtɔɡʁaf]
cartographie [kaʁtɔɡʁafi]
cartographier [kaʁtɔɡʁafje]
cartographique [kaʁtɔɡʁafik]
carton [kaʁtô]
cartonnage [kaʁtɔnaʒ]
cartouche [kaʁtuʃ]
cartoucher [kaʁtuʃe]
cartulaire [kaʁtylɛʁ]
ça [sa]
çà [sa]
Casablanca [kazablâka]
Casamance [kazamâs]
casanier [kazanje]
Casanova [kazanɔva]
casaque [kazak]
casbah [kazba]
cascade [kaskad]
cascader [kaskade]
CA [sea]
caséeux [kazeø]
caséine [kazein]
case [kaz]
casemate [kazmat]
caser [kaze]
caserne [kazɛʁn]
casernement [kazɛʁnəmâ]
caserner [kazɛʁne]
cash [kaʃ]
casier [kazje]
Casimir [kazimiʁ]
Casimir-Perier [kazimiʁpɛʁje]
casino [kazino]
cas [ka]
Caspienne [kaspjɛn]
casque [kask]
casquer [kaske]
casquette [kaskɛt]
Cassandra [kasâdʁa]
Cassandre [kasâdʁ]
cassant [kasâ]
cassation [kasasjô]
cassave [kasav]
casse [kas]
casser [kase]
casserole [kasʁɔl]
cassette [kasɛt]
Cassini [kasini]
Cassiopée [kasjɔpe]
cassis [kasis]
cassitérite [kasiteʁit]
cassure [kasyʁ]
castagnettes [kastaɲɛt]
caste [kast]
castel [kastɛl]
castillan [kastijâ]
Castille [kastij]
casting [kastiŋ]
castor [kastɔʁ]
castration [kastʁasjô]
Castres [kastʁ]
castriste [kastʁist]
casuel [kazɥɛl]
casuiste [kazɥist]
casuistique [kazɥistik]
catabolisme [katabɔlism]
cataclysme [kataklism]
catacombe [katakôb]
catafalque [katafalk]
catalan [katalâ]
catalepsie [katalɛpsi]
cataleptique [katalɛptik]
catalogage [katalɔɡaʒ]
catalogue [katalɔɡ]
cataloguer [katalɔɡe]
catalyse [kataliz]
catalyseur [katalizœʁ]
catalytique [katalitik]
Catane [katan]
cataplasme [kataplasm]
cataracte [kataʁakt]
catarrhe [kataʁ]
catastrophe [katastʁɔf]
catastropher [katastʁɔfe]
catastrophique [katastʁɔfik]
catch [katʃ]
catéchèse [kateʃɛz]
catéchétique [kateʃetik]
catéchiser [kateʃize]
catéchisme [kateʃism]
catéchiste [kateʃist]
catéchumène [katekymɛn]
catégorie [kateɡɔʁi]
catégoriel [kateɡɔʁjɛl]
catégorique [kateɡɔʁik]
catégoriquement [kateɡɔʁikmâ]
catégorisation [kateɡɔʁizasjô]
catégoriser [kateɡɔʁize]
caté [kate]
catgut [katɡyt]
cathare [kataʁ]
catharisme [kataʁism]
catharsis [kataʁsis]
cathartique [kataʁtik]
cathédral [katedʁal]
Catherine [katʁin]
cathétérisme [kateteʁism]
cathéter [katetɛʁ]
cathode [katɔd]
cathodique [katɔdik]
catho [kato]
catholicisme [katɔlisism]
catholicité [katɔlisite]
catholique [katɔlik]
Cathy [kati]
catimini [katimini]
catin [katê]
cation [katjô]
Caton [katô]
Catulle [katyl]
Caucase [kokaz]
caucasien [kɔkazjê,kokazjê]
caucasique [kokazik]
cauchemar [koʃmaʁ]
Cauchy [koʃi]
caucus [kokys]
caudal [kodal]
caudillo [kaodijo]
cauris [kɔʁis,kɔʁi]
causa [koza]
causalement [kozalmâ]
causalité [kozalite]
causal [kozal]
causant [kozâ]
causatif [kozatif]
cause [koz]
causerie [kozʁi]
causer [koze]
causeur [kozœʁ]
causse [kos]
Causses [kos]
causticité [kostisite]
caustique [kostik]
cauteleux [kotlø]
cautère [kotɛʁ,kɔtɛʁ]
cautérisation [koteʁizasjô,kɔteʁizasjô]
cautériser [koteʁize,kɔteʁize]
caution [kosjô]
cautionnement [kosjɔnmâ]
cautionner [kosjɔne]
Cavaillon [kavajô]
cavalcade [kavalkad]
cavale [kaval]
cavalerie [kavalʁi]
cavalièrement [kavaljɛʁmâ]
cavalier [kavalje]
caveau [kavo]
cave [kav]
Cavendish [kavâdiʃ]
caver [kave]
caverne [kavɛʁn]
caverneux [kavɛʁnø]
caviar [kavjaʁ]
cavitaire [kavitɛʁ]
cavitation [kavitasjô]
cavité [kavite]
Cayenne [kajɛn]
Cayley [kelɛ]
CCP [sesepe]
CDD [sedede]
CDI [sedei]
CD-ROM [sedeʁɔm]
CD [sede]
CE1 [seøê]
CE2 [seødø]
céans [seâ]
Cécile [sesil]
Cécilia [sesilja]
ceci [səsi]
cécité [sesite]
cédant [sedâ]
cédérom [sedeʁɔm]
céder [sede]
cedex [sedɛks]
cèdre [sɛdʁ]
Cédric [sedʁik]
cédule [sedyl]
CEE [seøø]
ceindre [sêdʁ]
ceinturer [sêtyʁe]
ceinture [sêtyʁ]
ceinturon [sêtyʁô]
cela [səla]
célébrant [selebʁâ]
célébration [selebʁasjô]
célébrer [selebʁe]
célèbre [selɛbʁ]
célébrité [selebʁite]
céleri [sɛlʁi]
célérité [seleʁite]
celer [səle]
céleste [selɛst]
Célestine [selɛstin]
Célestin [selɛstê]
Célia [selja]
célibataire [selibatɛʁ]
célibat [seliba]
Célimène [selimɛn]
Céline [selin]
cella [sela,sɛla]
celle-ci [sɛlsi]
Celle-Saint-Cloud [sɛlsêklu]
celles-ci [sɛlsi]
celle [sɛl]
cellier [selje]
cellophane [selɔfan]
cellulaire [selylɛʁ]
cellule [selyl]
celluleux [selylø]
cellulite [selylit]
celluloïd [selylɔid]
cellulose [selyloz]
cellulosique [selylozik]
Celsius [sɛlsjys]
celte [sɛlt]
celtique [sɛltik]
celui-ci [səlɥisi]
celui-là [səlɥila]
celui [səlɥi]
cémentation [semâtasjô]
cément [semâ]
cénacle [senakl]
cendrer [sâdʁe]
cendre [sâdʁ]
cendrier [sâdʁije]
cène [sɛn]
cénobite [senɔbit]
Cenon [senô]
cénotaphe [senɔtaf]
censément [sâsemâ]
censé [sâse]
censeur [sâsœʁ]
censier [sâsje]
censitaire [sâsitɛʁ]
censive [sâsiv]
cens [sâs]
censurer [sâsyʁe]
censure [sâsyʁ]
centaine [sâtɛn]
centaure [sâtɔʁ]
centenaire [sâtnɛʁ]
centenier [sâtənje]
center [sâte]
centième [sâtjɛm]
centigrade [sâtiɡʁad]
centime [sâtim]
centrafricain [sâtʁafʁikê]
Centrafrique [sâtʁafʁik]
centrage [sâtʁaʒ]
centralement [sâtʁalmâ]
centralisateur [sâtʁalizatœʁ]
centralisation [sâtʁalizasjô]
centraliser [sâtʁalize]
centralisme [sâtʁalism]
centraliste [sâtʁalist]
centralité [sâtʁalite]
central [sâtʁal]
